,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
1888,Facebook,Afghanistan,Southern Asia,Central Asia,20-24,22.0,Male,Programmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4637,Facebook,Afghanistan,Southern Asia,Central Asia,30-34,32.0,Male,Developer; Engineer; Programmer,Mobile developer - iOS,"Mobile Dev (Android, iOS, WP & Multi-Platform)",6 - 10 years,8.0,"$40,000 - $50,000",45000.0,,iOS; Objective-C,Swift,Yes,7.0,Employed full-time,Consulting,100-499 employees,15-20 people,3,I rarely work remotely,I love my job,I knew I wanted to work here. I sought out the opportunity directly,TextMate; Xcode,Multiple times a day,1-2 hours per week,Cats,Mac OS X,No,1,Multiple times a day,To keep my skills up to date,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),I am not interested in new job opportunities,Salary; Ability to make or influence important decisions; Opportunity for advancement; Quality of colleagues; Company culture; Company reputation; Building something that's innovative,Taking time off work to interview,10%,Show me more live code; Introduce me to the team; Show me the space in which I will work,Star Wars,Agree completely,Agree completely,Agree completely,Agree somewhat,Agree completely,Neutral,Agree somewhat,Neutral,Agree somewhat,Disagree somewhat,This is very important,This is very important,This is somewhat important,This is very important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Unrealistic expectations; Interacting with non-technical people; Changing requirements,To get help for my job; Because I can't do my job without it; To receive help on my personal projects; Beacause I love to learn
11164,Facebook,Afghanistan,Southern Asia,Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21378,Facebook,Afghanistan,Southern Asia,Central Asia,,,Female,Engineer,DevOps,DevOps,11+ years,13.0,"Less than $10,000",5000.0,,,,Other (please specify),8.0,Freelance / Contractor,Finance / Banking,100-499 employees,1-4 people,2,Part-time remote,I love my job,Other,Visual Studio,Multiple times a day,2-5 hours per week,Cats,Other Linux,Yes,I'm not sure,Once a week,,I'm self-taught; On-the-job training,"I'm not actively looking, but I am open to new opportunities",Office location; Remote working option; Flexible work hours,Other (please specify),0%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Fewer brainteasers,,Agree completely,Neutral,Agree somewhat,Agree somewhat,Agree completely,Disagree completely,Disagree completely,Agree completely,Agree somewhat,Disagree completely,This is somewhat important,I don't care about this,I don't care about this,This is somewhat important,This is very important,This is very important,I don't care about this,I don't care about this,This is very important,This is somewhat important,Corporate policies; Interacting with non-technical people,To get help for my job; Beacause I love to learn
30280,Facebook,Afghanistan,Southern Asia,Central Asia,> 60,65.0,Prefer not to disclose,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Ninja; Guru; Expert; Full-stack Developer; Full Stack Overflow Developer; Hacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31355,Facebook,Afghanistan,Southern Asia,Central Asia,20-24,22.0,Prefer not to disclose,Ninja; Guru; Hacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31743,Facebook,Afghanistan,Southern Asia,Central Asia,Prefer not to disclose,,Other,Hacker,Growth hacker,Growth hacker,11+ years,13.0,"More than $200,000",210000.0,,"Android; Arduino / Raspberry Pi; AngularJS; C; C++; C#; Cassandra; CoffeeScript; Cordova; Clojure; Cloud (AWS, GAE, Azure, etc.); Dart; F#; Go; Hadoop; Haskell; iOS; Java; JavaScript; LAMP; Matlab; MongoDB; Node.js; Objective-C; Perl; PHP; Python; R; ReactJS; Redis; Ruby; Rust; Salesforce; Scala; SharePoint; Spark; SQL; SQL Server; Swift; Visual Basic; Windows Phone; WordPress",Android,Yes,10.0,Self-employed,Defense,I am not part of a company,I don't know,0,Full-time remote,I don't have a job,I knew I wanted to work here. I sought out the opportunity directly,Notepad++,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",None,Cats,Windows 10,I don't know,I don't have an account,Multiple times a day,Other (please specify),I'm self-taught,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51301,Facebook,Afghanistan,Southern Asia,Central Asia,25-29,27.0,Male,Engineer,Back-end web developer,Back-end web developer,1 - 2 years,1.5,"Less than $10,000",5000.0,,JavaScript; PHP; SQL; WordPress,Android; iOS,Yes,7.0,Employed full-time,Software Products,10-19 employees,5-9 people,1,I rarely work remotely,I love my job,Contacted by company (in-house recruiter),Eclipse,Once a day,None,,Windows 8,Yes,I don't have an account,Once a week,To keep my skills up to date,B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Company size; Job title,Writing my CV and keeping it updated,80%,Show me more live code; Offer remote interviews (e.g. via video conference),,Agree completely,Agree completely,Agree somewhat,Disagree completely,Neutral,,Agree completely,Agree completely,Neutral,Disagree somewhat,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,I don't care about this,This is very important,Non-technical management; Poor infrastructure or equipment; Limited resources,To get help for my job; To give help to others; whyso_onlinepresence; To demonstrate that I'm good at what I do; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
13017,Facebook,Albania,Southern Europe,Eastern Europe,25-29,27.0,Other,Developer; Engineer; Programmer; Sr. Developer; Rockstar; Ninja; Guru; Hacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24487,Facebook,Albania,Southern Europe,Eastern Europe,20-24,22.0,Male,Developer,Back-end web developer,Back-end web developer,1 - 2 years,1.5,"Less than $10,000",5000.0,,PHP,Android; iOS; Java; JavaScript; Node.js; PHP; SQL,No,3.0,Freelance / Contractor,Web Services,5-9 employees,1-4 people,0,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Sublime; PhpStorm,Once a day,10-20 hours per week,Dogs,Windows 10,I don't know,2 - 100,Multiple times a day,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Tech stack; Opportunity for advancement,Finding an open job that I'm qualified for,20%,interview_coffee; Show me the space in which I will work; Fewer brainteasers,,Agree somewhat,Neutral,Neutral,Agree somewhat,Disagree somewhat,Disagree completely,Neutral,Agree completely,Neutral,Disagree completely,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,,Poor documentation,To get help for my job; To give help to others; Because I can't do my job without it; To discover new job opportunities; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
28844,Facebook,Albania,Southern Europe,Eastern Europe,25-29,27.0,Prefer not to disclose,Developer; Engineer; Programmer; Rockstar; Full-stack Developer; Hacker,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"Less than $10,000",5000.0,,Arduino / Raspberry Pi; C; C++; Java; JavaScript; LAMP; PHP; SQL,Android; Arduino / Raspberry Pi; AngularJS; Hadoop; MongoDB; Node.js,Other (please specify),6.0,Self-employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49685,Facebook,Albania,Southern Europe,Eastern Europe,20-24,22.0,Male,Developer; Engineer; Programmer; Sr. Developer; Manager; Expert; Full-stack Developer,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"$10,000 - $20,000",15000.0,,Android; Cordova; MongoDB; PHP; SQL; WordPress,Cordova; MongoDB; PHP; WordPress,No,9.0,Freelance / Contractor,Education,100-499 employees,5-9 people,2,Part-time remote,I love my job,Self-employed - I created my own job,PhpStorm,A couple times a week,2-5 hours per week,Cats,Windows 10,I don't know,"501 - 1,000",Once a week,To keep my skills up to date,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.A. in Computer Science (or related field); B.S. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Company stage; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Company culture; Building something that's innovative,Finding time to search for a job,60%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); interview_coffee; Show me the space in which I will work; Prepare me for who I will be speaking with,,Agree completely,Agree completely,Agree completely,Agree somewhat,Disagree somewhat,Disagree completely,Agree completely,Agree somewhat,Neutral,Neutral,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is very important,Poor team dynamics; Inefficient development processes; Non-technical management; Interacting with non-technical people; Changing requirements; Unspecific requirements,To get help for my job; To give help to others; Beacause I love to learn
