MLS,Location,Price,Bedrooms,Bathrooms,Size,Price SQ Ft,Status
132842,Arroyo Grande,795000.00,3,3,2371,335.30,Short Sale
134364,Paso Robles,399000.00,4,3,2818,141.59,Short Sale
135141,Paso Robles,545000.00,4,3,3032,179.75,Short Sale
135712,Morro Bay,909000.00,4,4,3540,256.78,Short Sale
136282,Santa Maria-Orcutt,109900.00,3,1,1249,87.99,Short Sale
136431,Oceano,324900.00,3,3,1800,180.50,Short Sale
137036,Santa Maria-Orcutt,192900.00,4,2,1603,120.34,Short Sale
137090,Santa Maria-Orcutt,215000.00,3,2,1450,148.28,Short Sale
137159,Morro Bay,999000.00,4,3,3360,297.32,Short Sale
137570,Atascadero,319000.00,3,2,1323,241.12,Short Sale
138053,Santa Maria-Orcutt,350000.00,3,2,1750,200.00,Short Sale
138730,Santa Maria-Orcutt,249000.00,3,2,1400,177.86,Short Sale
139291,Arroyo Grande,299000.00,2,2,1257,237.87,Short Sale
139427,Santa Maria-Orcutt,235900.00,3,2,1400,168.50,Short Sale
139461,Santa Maria-Orcutt,348000.00,3,2,1600,217.50,Short Sale
139661,Paso Robles,314000.00,4,3,1794,175.03,Short Sale
139918,Los Alamos,399000.00,4,2,1850,215.68,Short Sale
139932,San Miguel,599000.00,3,3,2950,203.05,Short Sale
140044,Paso Robles,299000.00,3,2,1719,173.94,Short Sale
140073,San Luis Obispo,425000.00,3,3,1472,288.72,Short Sale
140077,Morro Bay,1100000.00,4,3,4168,263.92,Short Sale
140080,Cayucos,1500000.00,3,3,3880,386.60,Short Sale
140113,Santa Maria-Orcutt,110000.00,2,1,1000,110.00,Short Sale
140395,Santa Maria-Orcutt,200000.00,3,2,1139,175.59,Short Sale
140460,Santa Maria-Orcutt,134900.00,3,1,1080,124.91,Short Sale
140703,Santa Maria-Orcutt,250000.00,4,3,2000,125.00,Short Sale
140720,Pismo Beach,950000.00,3,4,1920,494.79,Short Sale
140731,Santa Maria-Orcutt,239950.00,4,2,1348,178.00,Short Sale
141188,Santa Maria-Orcutt,170000.00,3,2,1280,132.81,Short Sale
141212,Santa Maria-Orcutt,285000.00,3,2,2400,118.75,Short Sale
141232,Santa Maria-Orcutt,279000.00,3,3,1700,164.12,Short Sale
141529,Santa Maria-Orcutt,219000.00,3,2,1600,136.88,Short Sale
141541,Santa Maria-Orcutt,155000.00,3,2,1050,147.62,Short Sale
141737,Atascadero,389000.00,3,2,1415,274.91,Short Sale
141847,Nipomo,340000.00,3,1,1110,306.31,Short Sale
141869,Guadalupe,95000.00,2,1,797,119.20,Short Sale
142216,Santa Maria-Orcutt,140000.00,2,2,1100,127.27,Short Sale
142340,Pismo Beach,1100000.00,3,3,2602,422.75,Short Sale
142442,Santa Maria-Orcutt,360000.00,4,3,2351,153.13,Short Sale
142528,Morro Bay,415000.00,3,3,1350,307.41,Short Sale
142539,Santa Maria-Orcutt,250000.00,4,2,1206,207.30,Short Sale
142585,Santa Maria-Orcutt,559000.00,3,3,2628,212.71,Short Sale
142818,Nipomo,525000.00,3,3,2365,221.99,Short Sale
142829,Los Osos,779000.00,3,3,2990,260.54,Short Sale
142870,Arroyo Grande,595000.00,3,2,1750,340.00,Short Sale
142977,Templeton,1150000.00,4,5,5500,209.09,Short Sale
143037,Templeton,550000.00,3,2,1852,296.98,Short Sale
143155,Grover Beach,500000.00,3,2,2100,238.10,Short Sale
143170,Santa Maria-Orcutt,279000.00,4,3,2580,108.14,Short Sale
143178,Santa Maria-Orcutt,375000.00,4,2,1963,191.03,Short Sale
143217,Santa Maria-Orcutt,330000.00,3,3,1900,173.68,Short Sale
143252,Santa Maria-Orcutt,199000.00,3,3,1450,137.24,Short Sale
143255,Santa Maria-Orcutt,165000.00,2,2,1000,165.00,Short Sale
143436,Templeton,1399000.00,4,3,6500,215.23,Foreclosure
143507,Santa Maria-Orcutt,255000.00,3,2,1218,209.36,Short Sale
143524,Cambria,325000.00,2,2,893,363.94,Short Sale
143534,Morro Bay,789000.00,3,3,2100,375.71,Foreclosure
143540,Nipomo,498000.00,4,3,2341,212.73,Short Sale
143884,Nipomo,430000.00,4,2,2168,198.34,Short Sale
143946,Paso Robles,539900.00,4,3,3032,178.07,Short Sale
144204,Pismo Beach,499000.00,3,2,1293,385.92,Short Sale
144238,Los Osos,275000.00,3,2,1200,229.17,Short Sale
144312,Santa Maria-Orcutt,499000.00,3,4,2250,221.78,Short Sale
144314,Morro Bay,899000.00,3,3,2430,369.96,Foreclosure
144316,Morro Bay,1045000.00,3,3,2100,497.62,Foreclosure
144318,Morro Bay,774000.00,2,2,1550,499.35,Foreclosure
144370,Santa Maria-Orcutt,239000.00,3,3,1800,132.78,Short Sale
144380,Santa Maria-Orcutt,195000.00,3,2,1218,160.10,Short Sale
144788,Grover Beach,325000.00,2,1,768,423.18,Short Sale
144815,Nipomo,320000.00,4,2,1929,165.89,Short Sale
144896,Santa Maria-Orcutt,275000.00,4,3,1877,146.51,Short Sale
145087,Paso Robles,329000.00,3,2,1700,193.53,Short Sale
145138,Santa Maria-Orcutt,140000.00,3,2,1080,129.63,Short Sale
145309,Paso Robles,409000.00,4,3,2192,186.59,Short Sale
145448,Santa Maria-Orcutt,167900.00,3,2,1296,129.55,Foreclosure
145471,Nipomo,325000.00,7,5,2688,120.91,Short Sale
145726,Santa Maria-Orcutt,119000.00,1,1,900,132.22,Short Sale
145745,Santa Maria-Orcutt,245000.00,4,2,1482,165.32,Short Sale
145789,Santa Maria-Orcutt,259900.00,3,2,1726,150.58,Short Sale
145850,Arroyo Grande,495000.00,3,2,1486,333.11,Short Sale
145952,San Luis Obispo,399000.00,4,2,1543,258.59,Short Sale
146040,Santa Maria-Orcutt,329700.00,4,2,1367,241.19,Short Sale
146110,Atascadero,199000.00,1,1,712,279.49,Short Sale
146130,Santa Maria-Orcutt,149000.00,3,2,1040,143.27,Short Sale
146144,Paso Robles,225000.00,3,2,1456,154.53,Short Sale
146149,Santa Maria-Orcutt,195000.00,2,1,811,240.44,Short Sale
146212,Paso Robles,359900.00,3,3,1951,184.47,Short Sale
146223,Templeton,799000.00,4,4,3100,257.74,Short Sale
146282,San Luis Obispo,595000.00,3,2,2117,281.06,Short Sale
146302,Paso Robles,89000.00,3,2,1560,57.05,Short Sale
146310,Santa Maria-Orcutt,129900.00,3,1,1042,124.66,Short Sale
146320,Los Osos,375000.00,3,3,1519,246.87,Short Sale
146423,Atascadero,599000.00,3,2,2774,215.93,Short Sale
146496,Paso Robles,235000.00,3,2,1340,175.37,Short Sale
146537,Santa Maria-Orcutt,255900.00,3,2,1440,177.71,Foreclosure
146544,Santa Maria-Orcutt,148900.00,5,2,1064,139.94,Short Sale
146581,Arroyo Grande,749000.00,3,2,2145,349.18,Short Sale
146597,Santa Maria-Orcutt,189900.00,3,2,1472,129.01,Foreclosure
146649,Paso Robles,183000.00,3,1,888,206.08,Short Sale
146667,Santa Maria-Orcutt,232600.00,3,3,1582,147.03,Short Sale
146773,Cambria,520000.00,3,2,1680,309.52,Short Sale
146790,Solvang,355000.00,3,3,1702,208.58,Foreclosure
146797,Pismo Beach,275000.00,0,1,398,690.95,Short Sale
146888,Santa Maria-Orcutt,225000.00,4,3,1940,115.98,Short Sale
146986,Santa Maria-Orcutt,161900.00,3,2,1200,134.92,Short Sale
147094,Santa Maria-Orcutt,249999.00,3,3,2013,124.19,Short Sale
147167,Santa Maria-Orcutt,208000.00,2,1,1267,164.17,Short Sale
147214,Guadalupe,135000.00,3,1,1100,122.73,Short Sale
147216,San Luis Obispo,385000.00,2,3,1389,277.18,Short Sale
147240,Atascadero,750000.00,4,4,3387,221.43,Foreclosure
147241,Atascadero,810000.00,4,3,3305,245.08,Foreclosure
147249,Atascadero,890000.00,4,5,4229,210.45,Foreclosure
147253,Atascadero,895000.00,4,3,3676,243.47,Foreclosure
147374,San Miguel,229900.00,3,2,1458,157.68,Short Sale
147440,Grover Beach,240000.00,2,2,1020,235.29,Short Sale
147450,Atascadero,429000.00,4,3,2513,170.71,Foreclosure
147570,Santa Maria-Orcutt,399000.00,4,3,2800,142.50,Short Sale
147586,Santa Maria-Orcutt,385000.00,3,2,2000,192.50,Short Sale
147603,Paso Robles,294900.00,3,2,1316,224.09,Foreclosure
147611,Paso Robles,399000.00,3,2,1220,327.05,Short Sale
147620,Santa Maria-Orcutt,269000.00,3,3,1780,151.12,Short Sale
147654,Cambria,449000.00,3,3,2120,211.79,Short Sale
147761,Arroyo Grande,555900.00,5,3,2947,188.63,Foreclosure
147767,Paso Robles,319900.00,4,2,2135,149.84,Foreclosure
147819,Cambria,332000.00,4,4,1872,177.35,Foreclosure
147876,Bradley,499000.00,4,5,3400,146.76,Short Sale
147948,Paso Robles,432000.00,4,3,3113,138.77,Short Sale
148070,Arroyo Grande,199000.00,2,1,827,240.63,Short Sale
148168,Santa Maria-Orcutt,29000.00,2,2,1500,19.33,Foreclosure
148195,Atascadero,299000.00,3,2,1270,235.43,Short Sale
148289,Santa Maria-Orcutt,259000.00,4,3,1857,139.47,Short Sale
148318,Los Osos,99000.00,1,1,538,184.01,Short Sale
148324,Avila Beach,779000.00,2,2,1223,636.96,Foreclosure
148325,Avila Beach,839000.00,2,2,1223,686.02,Foreclosure
148384,Santa Ynez,525000.00,3,2,1746,300.69,Short Sale
148399,Santa Ynez,795000.00,3,2,2092,380.02,Short Sale
148472,Santa Maria-Orcutt,337000.00,4,2,2000,168.50,Short Sale
148519,Oceano,164900.00,2,1,750,219.87,Foreclosure
148622,San Luis Obispo,449000.00,2,3,1650,272.12,Short Sale
148624,Guadalupe,94000.00,2,2,797,117.94,Foreclosure
148638,Pismo Beach,899000.00,3,3,2266,396.73,Short Sale
148736,Santa Maria-Orcutt,180000.00,3,2,1280,140.63,Short Sale
148744,Bradley,194900.00,3,2,1092,178.48,Foreclosure
148757,Los Osos,350000.00,3,2,1509,231.94,Short Sale
148806,King City,167770.00,3,3,1793,93.57,Foreclosure
148842,Creston,309900.00,3,2,1705,181.76,Foreclosure
148881,Templeton,479000.00,2,3,2100,228.10,Short Sale
148961,Los Alamos,350000.00,3,2,1582,221.24,Short Sale
149001,Grover Beach,350000.00,3,2,1470,238.10,Short Sale
149024,Santa Maria-Orcutt,275000.00,3,2,1424,193.12,Short Sale
149039,Paso Robles,379000.00,4,3,2277,166.45,Short Sale
149069,King City,155900.00,4,2,3368,46.29,Foreclosure
149105,San Miguel,229000.00,3,2,1458,157.06,Short Sale
149193,Pismo Beach,604995.00,2,3,1749,345.91,Foreclosure
149207,Pismo Beach,599000.00,3,3,1996,300.10,Short Sale
149230,Morro Bay,359000.00,3,2,1008,356.15,Short Sale
149275,Lompoc,199000.00,4,2,1527,130.32,Foreclosure
149287,Paso Robles,164900.00,3,2,1440,114.51,Short Sale
149307,Coalinga,179000.00,3,2,1815,98.62,Short Sale
149317,Paso Robles,370000.00,4,2,2064,179.26,Short Sale
149324,Santa Ynez,999000.00,5,4,2402,415.90,Short Sale
149369,Paso Robles,365000.00,3,3,2136,170.88,Short Sale
149401,San Miguel,345000.00,3,2,1498,230.31,Short Sale
149412,Paso Robles,299000.00,2,1,1068,279.96,Short Sale
149439,Pismo Beach,519500.00,2,1,634,819.40,Short Sale
149470,Buellton,645000.00,4,4,3000,215.00,Short Sale
149482,Santa Maria-Orcutt,242500.00,3,2,1218,199.10,Foreclosure
149514,Santa Maria-Orcutt,259900.00,3,3,1300,199.92,Short Sale
149604,Santa Maria-Orcutt,310000.00,4,3,2014,153.92,Short Sale
149612,Atascadero,450000.00,2,2,1463,307.59,Short Sale
149615,Santa Maria-Orcutt,220000.00,2,2,1541,142.76,Short Sale
149616,San Luis Obispo,585000.00,3,2,1268,461.36,Short Sale
149633,Santa Maria-Orcutt,324000.00,5,4,2400,135.00,Short Sale
149666,Cambria,375000.00,1,1,551,680.58,Short Sale
149700,Paso Robles,329000.00,3,2,1420,231.69,Short Sale
149752,Paso Robles,599900.00,5,3,2764,217.04,Foreclosure
149791,Santa Maria-Orcutt,74900.00,2,2,1014,73.87,Short Sale
149797,Los Osos,285000.00,3,2,1120,254.46,Short Sale
149813,Santa Maria-Orcutt,751900.00,3,3,3400,221.15,Foreclosure
149829,Santa Maria-Orcutt,295000.00,3,2,1386,212.84,Short Sale
149839,Coalinga,170000.00,3,2,1320,128.79,Short Sale
149841,Santa Maria-Orcutt,197000.00,3,2,1376,143.17,Short Sale
149860,Oceano,1250000.00,3,3,2586,483.37,Short Sale
149864,Paso Robles,249000.00,3,2,1662,149.82,Short Sale
149869,Nipomo,179000.00,2,2,1033,173.28,Short Sale
149877,Santa Maria-Orcutt,132000.00,3,1,1050,125.71,Short Sale
149882,Lockwood,425000.00,3,2,1500,283.33,Short Sale
149890,Santa Maria-Orcutt,290000.00,5,3,2500,116.00,Short Sale
149909,Los Osos,150000.00,2,2,896,167.41,Short Sale
149911,Los Osos,150000.00,2,2,896,167.41,Short Sale
149914,Los Osos,150000.00,2,2,896,167.41,Short Sale
149915,Los Osos,150000.00,2,2,896,167.41,Short Sale
149916,Los Osos,150000.00,2,2,896,167.41,Short Sale
149917,Los Osos,205000.00,2,2,1388,147.69,Short Sale
149919,Atascadero,599000.00,4,3,3120,191.99,Short Sale
149922,Paso Robles,269000.00,3,3,1352,198.96,Short Sale
