Timestamp,Collected by,Name of makerspace,Email address,Postcode,Date your space opened (or plans to open),Date your space closed (if it is no longer running),cost to member/user per month,Sculpture,Do you have a materials shop?,Do you keep a list of members or regular users?,cluster type by size,Have you adopted a code of conduct?,Gender balance of members or regular users [Female],Gender balance of members or regular users [Male],Gender balance of members or regular users [Other],Gender balance of members or regular users [Prefer not to say],What ethnic groups are represented amongst your membership? [White],What ethnic groups are represented amongst your membership? [Mixed or multiple ethnic groups],What ethnic groups are represented amongst your membership? [Asian or Asian British],What ethnic groups are represented amongst your membership? [Other ethnic group],Total visits in November 2014,Unique users in November 2014,User types in November 2014 [Visitors or observers],User types in November 2014 [Hobbyist],User types in November 2014 [Startups],User types in November 2014 [Sole traders/Microbusinesses],User types in November 2014 [SMEs],User types in November 2014 [Students],User types in November 2014 [Teachers],User types in November 2014 [Other / don't know],Purpose of user visits in November 2014 [Introduction to making],Purpose of user visits in November 2014 [Make something specific],Purpose of user visits in November 2014 [Prototype],Purpose of user visits in November 2014 [Make one-off pieces],Purpose of user visits in November 2014 [Small batch production],Purpose of user visits in November 2014 [Socialise],Purpose of user visits in November 2014 [Other (detail below)],Do you produce accounts?
4-Jan-15,Makerspace. Edited by Researcher,Hub Workshop,info@hubworkshop.com,SE15 3SN,,,from 20 - 75,,,Yes,unknown,,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Don't know,Don't know,Don't know,Don't know,n/a not open,n/a not open,,,,,,,,,,,,,,,,
5-Jan-15,Makerspace. Edited by Researcher,Nottingham Hackspace (Nottinghack),trustees@nottinghack.org.uk,NG3 1JH,,,?,Yes,No,Yes,large,Yes,10-19%,80-89%,<10%,,80-89%,<10%,<10%,<10%,,,,,,,,,,Don't know,,,,,,,,
5-Jan-15,Researcher,Farset Labs,info@farsetlabs.org.uk,BT12 5GH,1/4/12,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Jan-15,Makerspace,Medway Makers,tomdehavas@gmail.com,ME4 3JE,,,0,,No,Yes,small,No,20-29%,,,,,,,,,,,40-49%,20-29%,,20-29%,20-29%,,,20-29%,,,,,20-29%,,
8-Jan-15,Makerspace,fizzPop,fizzpop.makers@gmail .com,B5 5SR,18/07/2013,,Oct-40,,No,Yes,medium,No,10-19%,70-79%,,,70-79%,,,,,,,,,,,,,Don't know,,,,,,,Don't know,Yes
8-Jan-15,Makerspace. Edited by Researcher,South London Makerspace,trustees@southlondonmakerspace.org,SE24 9AA,28/02/2015,31/07/2014,20,,No,Yes,small,No,10-19%,80-89%,Don't know,Don't know,90-100%,<10%,<10%,<10%,100-250,0-10,10-19%,90-100%,< 10%,< 10%,< 10%,< 10%,< 10%,< 10%,,,,,,20-29%,90-100%,Yes
8-Jan-15,Researcher,Create Space London ,,HA9 6DE,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Jan-15,Researcher,FounderHub,info@foundershub.co.uk,CF10 1DY,14/10/2014,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Jan-15,Researcher,LuneLab Makerspace,contactus@lunelab.org.uk, LA2 6ND,1/4/14,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan-15,Makerspace,The Shed,cstheshed@kent.ac.uk,CT2 7NF,1/10/14,,1,,Yes,Yes,unknown,No,60-69%,40-49%,,,90-100%,,,,250-1000,250-1000,20-29%,,,,,70-79%,40-49%,,20-29%,,40-49%,40-49%,,40-49%,70-79%,Yes
11-Jan-15,Makerspace. Edited by Researcher,Build Brighton,info@buildbrighton.com,BN2 4AB,1/9/11,,5,,Yes,Yes,large,Yes,10-19%,80-89%,<10%,,80-89%,<10%,<10%,<10%,100-250,50-100,50-59%,50-59%,< 10%,< 10%,< 10%,30-39%,10-19%,< 10%,50-59%,20-29%,20-29%,30-39%,10-19%,30-39%,Don't know,Yes
13-Jan-15,Makerspace. Edited by Researcher,Makespace, info@makespace.org,CB2 1RX,1/3/13,,40,,Yes,Yes,large,Yes,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,100-250,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,<10%,30-39%,30-39%,30-39%,<10%,20-29%,,Yes
15-Jan-15,Makerspace,Swansea Hackspace,info@swansea.hackspace.org.uk,SA1 1DP,23/06/2014,,10,,Yes,Yes,small,Yes,<10%,90-100%,,,90-100%,,,,0-10,10 to 50,< 10%,80-89%,,,,< 10%,,,,,,,,50-59%,,Yes
15-Jan-15,Makerspace. Edited by Researcher,57North (previously Hackerdeen) ,contact@57north.co,AB11 5BN,5/10/13,,20,,No,Yes,small,No,<10%,80-89%,10-19%,<10%,90-100%,,,,50-100,10 to 50,< 10%,80-89%,,,,< 10%,,< 10%,<10%,<10%,90-100%,,,90-100%,,Yes
15-Jan-15,Makerspace,BEC Fab Lab ,Becfablab@gmail.com,CA13 0HT,5/1/14,,,,Yes,Yes,small,Yes,50-59%,50-59%,,,90-100%,,,Don't know,50-100,50-100,10-19%,10-19%,10-19%,10-19%,10-19%,< 10%,< 10%,,10-19%,20-29%,10-19%,10-19%,<10%,Don't know,,Yes
15-Jan-15,Makerspace,Dundee MakerSpace,info@dundeemakerspace.co.uk ,DD1 4QB,1/9/14,,25-May,,Yes,Yes,small,Yes,10-19%,80-89%,,,90-100%,,,,10 to 50,10 to 50,10-19%,50-59%,,,,20-29%,,< 10%,10-19%,10-19%,10-19%,,,10-19%,,Yes
15-Jan-15,Makerspace. Edited by Researcher,EPIK,0208 0993608,CT3 4GP,1/1/13,,,,No,,large,Yes,20-29%,20-29%,60-69%,,80-89%,<10%,<10%,<10%,0-10,0-10,< 10%,< 10%,< 10%,< 10%,< 10%,< 10%,< 10%,< 10%,80-89%,,,,,80-89%,,Yes
15-Jan-15,Makerspace,Fab Lab Nerve Centre,e.durey@nervecentre.org,BT48 6HJ,7/1/12,,,,No,Yes,large,Yes,40-49%,60-69%,,,80-89%,<10%,<10%,,250-1000,,10-19%,40-49%,< 10%,< 10%,< 10%,20-29%,10-19%,20-29%,30-39%,50-59%,20-29%,,<10%,10-19%,,Yes
